run,architecture,concurrency,rps,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,errors,timeouts,non2xx,cpu_percent,event_loop_p99_ms,duration_ms,completed_requests,test_order,timestamp,node_version,machine_info
1,jwt,210,3656.14,56.88,55.31,125.58,159.01,0,0,0,21.40,10.63,30014,109877,68,2026-08-27T05:06:27.108Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,175,3655.90,47.35,46.49,97.39,121.68,0,0,0,21.29,10.56,30015,109838,69,2026-08-27T05:07:18.179Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,215,9701.87,21.67,21.64,29.08,34.29,0,0,0,34.76,16.03,30028,291260,70,2026-08-27T05:08:09.258Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,190,3827.14,49.09,51.37,80.11,96.56,0,0,0,27.49,11.17,30012,114993,71,2026-08-27T05:09:00.405Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,195,10080.21,18.86,18.01,30.98,33.47,0,0,0,46.73,22.12,30028,302586,72,2026-08-27T05:09:51.479Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,220,3972.97,54.84,62.60,99.95,117.63,0,0,0,23.32,10.42,30013,119395,73,2026-08-27T05:10:42.657Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,190,9039.00,20.55,20.10,31.47,36.65,0,0,0,34.05,21.86,30055,271368,74,2026-08-27T05:11:33.719Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,205,3691.94,54.96,56.25,116.72,145.67,0,0,0,21.61,10.46,30012,110951,75,2026-08-27T05:12:24.878Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,185,8837.54,20.47,20.04,31.78,37.44,0,0,0,33.89,21.71,30059,265286,76,2026-08-27T05:13:15.951Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,210,9407.00,21.85,21.49,30.59,36.52,0,0,0,33.29,19.96,30042,282394,77,2026-08-27T05:14:07.131Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
